folder,model_id,scenario,scale,ACCURACY_ResNet50,QWK_ResNet50,QWK_DEFAULT_ResNet50,SENSITIVITY_ResNet50,SPECIFICITY_ResNet50,ACCURACY_VGG16,QWK_VGG16,SENSITIVITY_VGG16,SPECIFICITY_VGG16,QWK_DEFAULT_VGG16
BASELINE,0,-,-,0.7356,0.8764,0.8764,0.9586,0.9779,0.7914,0.0,0.9436,0.9779,
srgan-full,1,A,2,0.2216,0.0201,0.0212,1.0,0.0,0.5047,0.0,0.0,1.0,0.0
srgan-full,2,A,4,0.5121,0.3605,0.3225,0.609,0.9077,0.5047,0.0098,0.0075,1.0,0.0098
srgan-full,3,A,8,0.5028,-0.0003,-0.0016,0.0038,0.9963,0.5047,0.0,0.0,1.0,0.0
srgan-full,4,B,2,0.0987,0.0,0.0,1.0,0.0,0.5047,0.0,0.0,1.0,0.0
srgan-full,5,B,4,0.4153,0.2291,0.1094,0.7218,0.7085,0.5047,0.0,0.0,1.0,0.0
srgan-full,6,B,8,0.5047,0.0,0.0,0.0,1.0,0.5047,0.0,0.0,1.0,0.0
srgan-full,7,C,2,0.0987,0.0,0.0,1.0,0.0,0.5047,0.0,0.0,1.0,0.0
srgan-full,8,C,4,0.5028,0.0048,0.0032,0.0075,0.9963,0.5047,0.0,0.0,1.0,0.0
srgan-full,9,C,8,0.5047,0.0,0.0,0.0,1.0,0.5047,0.0,0.0,1.0,0.0
srgan2,1,A,2,0.6406,0.8144,0.806,0.9511,0.8376,0.7337,0.7455,0.8346,0.9594,0.7455
srgan2,2,A,4,0.1341,0.3855,0.362,0.9962,0.059,0.6052,0.344,0.4023,0.9742,0.344
srgan2,3,A,8,0.0745,0.0441,0.0305,1.0,0.0,0.5047,0.0,0.0,1.0,0.0
srgan2,4,B,2,0.2086,0.51,0.3738,1.0,0.0,0.648,0.5646,0.7256,0.9004,0.5646
srgan2,5,B,4,0.1825,0.271,0.1396,1.0,0.0111,0.5438,0.2121,0.3045,0.9336,0.2121
srgan2,6,B,8,0.2011,0.1141,0.1157,1.0,0.0037,0.5047,0.0,0.0,1.0,0.0
srgan2,7,C,2,0.1844,0.248,0.0746,1.0,0.0,0.4153,0.3288,0.8271,0.5904,0.3288
srgan2,8,C,4,0.121,0.1464,0.0688,1.0,0.0,0.46,0.171,0.6541,0.5461,0.171
srgan2,9,C,8,0.1676,0.1033,0.0612,1.0,0.0,0.5047,0.0,0.0,1.0,0.0
srgan31,1,A,2,0.6704,0.7974,0.8014,0.9436,0.8339,0.7002,0.6787,0.7594,0.9557,0.6787
srgan31,2,A,4,0.3073,0.4776,0.466,0.985,0.2177,0.5047,0.0,0.0,1.0,0.0
srgan31,3,A,8,0.2737,0.0575,0.0318,0.703,0.4096,0.5047,0.0,0.0,1.0,0.0
srgan31,4,B,2,0.4097,0.6778,0.6631,0.9962,0.3358,0.6294,0.6256,0.8534,0.8266,0.6256
srgan31,5,B,4,0.3035,0.4576,0.4821,0.9962,0.2472,0.5102,0.019,0.0226,1.0,0.019
srgan31,6,B,8,0.3799,0.0591,0.0242,0.3722,0.7085,0.5047,0.0,0.0,1.0,0.0
srgan31,7,C,2,0.1955,0.3934,0.1765,1.0,0.0,0.5084,0.1532,0.3346,0.8229,0.1532
srgan31,8,C,4,0.0968,0.1434,0.0766,1.0,0.0,0.5047,0.0,0.0,1.0,0.0
srgan31,9,C,8,0.3836,0.1048,0.1265,0.5902,0.6347,0.5047,0.0,0.0,1.0,0.0
srgan32,1,A,2,0.594,0.8279,0.7965,0.9699,0.8303,0.7151,0.6915,0.7669,0.9668,0.6915
srgan32,2,A,4,0.1937,0.224,0.2143,1.0,0.0111,0.5438,0.1921,0.2707,0.9262,0.1921
srgan32,3,A,8,0.0875,0.0084,0.0152,1.0,0.0,0.5028,0.0046,0.0038,0.9963,0.0046
srgan32,4,B,2,0.2682,0.5874,0.5447,1.0,0.0996,0.5736,0.351,0.3233,0.9926,0.351
srgan32,5,B,4,0.1639,0.0937,0.0599,1.0,0.0,0.5978,0.4782,0.6353,0.8745,0.4782
srgan32,6,B,8,0.0559,0.0221,0.0005,1.0,0.0,0.514,0.0213,0.0489,0.9852,0.0213
srgan32,7,C,2,0.1955,0.2534,0.1259,1.0,0.0,0.5438,0.3035,0.4135,0.8708,0.3035
srgan32,8,C,4,0.1657,0.1239,0.0318,1.0,0.0,0.4507,-0.0517,0.0714,0.8672,-0.0517
srgan32,9,C,8,0.0801,0.0,-0.0003,1.0,0.0,0.5084,0.0377,0.1015,0.9373,0.0377
